week,date,date_end,title,deadline, reading,content,tutorial,assignment
1,2023-09-05,,Introduction to the course/probability,,"BH Ch 1","materials/week_01",,
1,2023-09-07,,Probability/conditional probability,,"BH Ch 2","materials/week_01",,
2,2023-09-12,,Conditional probability and random variables,,"BH Ch 3","materials/week_02",,
2,2023-09-13,,Problem Set 1,11:59 PM,,,,"assignments/01_problem_set"
2,2023-09-14,,Random variables,,"BH Ch 3","materials/week_02",,
3,2023-09-19,,Expectation,,"BH Ch 4","materials/week_03",,
3,2023-09-20,,Problem Set 2,11:59 PM,,,,"assignments/02_problem_set"
3,2023-09-21,,Expectation,,"BH Ch 4","materials/week_03",,
4,2023-09-26,,Continuous random variables,,"BH Ch 5.1-5.4","materials/week_04",,
4,2023-09-27,,Problem Set 3,11:59 PM,,,,"assignments/03_problem_set"
4,2023-09-28,,Continuous random variables,,"BH Ch 5.1-5.4","materials/week_04",,
5,2023-10-03,,Multivariate distributions,,"BH 7.1-7.3, 7.5","materials/week_05",,
5,2023-10-04,,Problem Set 4,11:59 PM,,,,"assignments/04_problem_set"
5,2023-10-05,,Multivariate distributions,,"BH 7.1-7.3, 7.5","materials/week_05",,
6,2023-10-10,,Conditional expectation,,"BH Ch 9","materials/week_06",,
6,2023-10-12,,Conditional expectation,,"BH Ch 9","materials/week_06",,
6,2023-10-12,2023-10-13,Midterm Exam,11:59 PM,,,,
7,2023-10-17,,Estimation,,"UG Ch 2","materials/week_07",,
7,2023-10-19,,Estimation,,"UG Ch 2","materials/week_07",,
8,2023-10-24,,Asymptotics,,"BH Ch 10.1-10.2, UG Ch 3.1-3.6","materials/week_08",,
8,2023-10-25,,Problem Set 5,11:59 PM,,,,"assignments/05_problem_set"
8,2023-10-26,,Asymptotics,,"BH Ch 10.3, UG Ch 3.7","materials/week_08",,
9,2023-10-31,,Asymptotics,,"BH Ch 10.3, UG Ch 3.8","materials/week_09",,
9,2023-11-01,,Problem Set 6,11:59 PM,,,,"assignments/06_problem_set"
9,2023-11-02,,Asymptotics,,"BH Ch 10.3, UG Ch 3.9","materials/week_09",,
10,2023-11-07,,Hypothesis testing,,"UG Ch 4","materials/week_10",,
10,2023-11-08,,Problem Set 7,11:59 PM,,,,"assignments/07_problem_set"
10,2023-11-09,,Hypothesis testing,,"UG Ch 4","materials/week_10",,
11,2023-11-14,,Regression,,"UG Ch 5, HE Ch 2.14-2.30","materials/week_11",,
11,2023-11-15,,Problem Set 8,11:59 PM,,,,"assignments/08_problem_set"
11,2023-11-16,,Regression,,"UG Ch 6, H2 Ch 3","materials/week_11",,
12,2023-11-21,,Least squares,,"UG Ch 6, H2 Ch 3","materials/week_12",,
13,2023-11-28,,Least squares,,"UG Ch 6, H2 Ch 3","",,
13,2023-11-29,,Problem Set 9,11:59 PM,,,,"assignments/09_problem_set"
13,2023-11-30,,Properties of least squares,,"UG Ch 7, HE Ch 4.1-4.20","materials/week_13",,
14,2023-12-05,,Properties of least squares,,"UG Ch 7, HE Ch 7","materials/week_13",,
14,2023-12-06,,Problem Set 10,11:59 PM,,,,"assignments/10_problem_set"
